"","x"
"1",88.1821593971266
"2",85.8739202483009
"3",85.4601320629691
"4",96.4814233816779
"5",85.6238079499101
"6",83.4775869442328
"7",81.5611356103535
"8",84.2997512920425
"9",89.4904637501226
"10",92.5745379634383
"11",83.3736786669589
"12",88.1270000004548
"13",88.9956164772058
"14",87.0617944146533
"15",94.0391145166107
"16",84.6500793906689
"17",80.4232758116098
"18",83.6500131644127
"19",79.0624615923048
"20",84.9406399401219
"21",97.9833887136732
"22",88.2144605980395
"23",104.410630800822
"24",101.208058488074
"25",96.4251327609981
"26",100.470995928055
"27",100.384413612781
"28",96.8516668711221
"29",94.7474832024634
"30",99.1361384955193
"31",114.258367317811
"32",124.032909683767
"33",129.972949828452
"34",133.518987083467
"35",139.862923584096
"36",126.59754220591
"37",122.507530976682
"38",115.352206608892
"39",109.525296186848
"40",106.693721975144
"41",101.946727923016
"42",98.1962893276138
"43",98.5389935191261
"44",96.2458011009299
"45",103.046028939202
"46",97.2342434258831
"47",96.920322689957
"48",96.5007407761769
"49",94.1716887118698
"50",94.9112450315107
"51",97.2866149827683
"52",97.6588055232356
"53",103.760703163697
"54",101.628625894338
"55",98.2557356379087
"56",95.9655361311969
"57",97.3046714773316
"58",93.1067164139758
"59",94.2254401233708
"60",94.500253063022
"61",91.6251363897744
"62",92.2854860592884
"63",101.036431555566
"64",99.7843040756818
"65",95.6812346480919
"66",92.8991843025624
"67",93.4136810975955
"68",92.8061831919161
"69",91.3413477878523
"70",99.9889467232676
"71",95.7388481901075
"72",91.6132482622797
"73",88.6200276802957
"74",100.421559120874
"75",93.8213438186789
"76",92.822188669883
"77",92.9290953742757
"78",109.819281546394
"79",102.432967432254
"80",92.8813512988422
"81",91.6437868284569
"82",93.3460487115144
"83",93.3846645736121
"84",90.0695534854797
"85",91.2086704174337
"86",94.6996543082996
"87",94.3041340883095
"88",98.8552208139399
"89",98.1016821070784
"90",93.4867469369451
"91",93.489462583675
"92",101.012397467999
"93",108.53077255073
"94",114.182486170218
"95",99.6349610019459
"96",104.718196038921
"97",103.675337486473
"98",119.22440057242
"99",111.046472458115
"100",104.473220931062
"101",99.1168505268081
"102",100.550218833708
"103",112.485965051864
"104",102.343122362125
"105",98.3374847863282
"106",114.240569722573
"107",146.056315042589
"108",111.378992350917
"109",108.45453934015
"110",103.975705616835
"111",104.90577714762
"112",111.309095911714
"113",101.799955775498
"114",99.1225644672578
"115",102.489661071149
"116",109.81092779075
"117",93.0387080270437
"118",108.844777700587
"119",109.576223995739
"120",100.434467564894
"121",94.1390637948
"122",109.988635367276
"123",102.123422689461
"124",93.9185608931353
"125",103.160171505361
"126",114.077568056477
"127",101.218323462279
"128",109.148507136819
"129",100.708361645547
"130",95.04904755669
"131",91.9406769653301
"132",103.964237008236
"133",92.3788702595924
"134",100.178241684511
"135",96.4617168931736
"136",92.0180093387107
"137",101.113757366752
"138",93.2829097635963
"139",96.3996563622274
"140",104.17536149819
"141",110.381969064473
"142",105.197309070486
"143",117.92087430378
"144",101.406406026466
"145",96.2896572157713
"146",105.447922090825
"147",90.8704418144905
"148",97.0815555968128
"149",95.8058547903878
"150",121.326158703825
"151",101.167773134156
"152",100.605870009916
"153",96.9855375531254
"154",106.847250970718
"155",94.788871436674
"156",95.3626919072152
"157",98.737630091595
"158",94.7376556869578
"159",98.1484547754171
"160",97.7061229271931
"161",94.8903559211923
"162",92.9891707816827
"163",114.92568048399
"164",102.931319249561
"165",100.679949072592
"166",97.6982346679012
"167",100.013957486064
"168",95.244832503008
"169",90.4384506027947
"170",99.9938917433301
"171",91.9018786236607
"172",103.165233490712
"173",89.8647556230924
"174",94.2255765984293
"175",98.682990067971
"176",105.098776459513
"177",107.064348092618
"178",110.386998330581
"179",114.375358801165
"180",101.26355495748
"181",103.357335137818
"182",93.9378189419513
"183",102.203462262727
"184",100.114497448176
"185",98.4092109762589
"186",103.263012128845
"187",90.5263583535396
"188",103.207912266617
"189",108.208223740902
"190",103.195299971103
"191",100.466878756805
"192",98.2550512735498
"193",99.8045467201749
"194",108.362964926581
"195",103.81362141653
"196",111.857147983694
