"","Codes","Description","unit","Periodicity","start","last value","source"
"1","345"," Financial investment fund - FIF 60 - Investments in stocks for debentures conversion"," c.m.u. (thousand)"," W"," 09/01/1995"," 07/26/1999"," Sisbacen PEFI450"
"2","346"," Financial investment fund - FIF 60 - Investments in open Companies stocks"," c.m.u. (thousand)"," W"," 09/01/1995"," 07/26/1999"," Sisbacen PEFI450"
"3","347"," Financial investment fund - FIF 60 - Other investments"," c.m.u. (thousand)"," W"," 09/01/1995"," 07/26/1999"," Sisbacen PEFI450"
"4","348"," Financial investment fund - FIF 60 - Investments in repurchase agreements"," c.m.u. (thousand)"," W"," 09/01/1995"," 07/26/1999"," Sisbacen PEFI450"
"5","351"," Financial investment fund - FIF 90 - Investments state securities"," c.m.u. (thousand)"," W"," 09/01/1995"," 07/26/1999"," Sisbacen PEFI450"
"6","352"," Financial investment fund - FIF 90 - Investments in municipal securities"," c.m.u. (thousand)"," W"," 09/01/1995"," 07/26/1999"," Sisbacen PEFI450"
"7","353"," Financial investment fund - FIF 90 - Investments in time deposits (CDB/RDB)"," c.m.u. (thousand)"," W"," 09/01/1995"," 07/26/1999"," Sisbacen PEFI450"
"8","354"," Financial investment fund - FIF 90 - Investments in debentures"," c.m.u. (thousand)"," W"," 09/01/1995"," 07/26/1999"," Sisbacen PEFI450"
"9","355"," Financial investment fund - FIF 90 - Investments in bill of mortgage"," c.m.u. (thousand)"," W"," 09/01/1995"," 07/26/1999"," Sisbacen PEFI450"
"10","356"," Financial investment fund - FIF 90 - Investments in bill of exchange"," c.m.u. (thousand)"," W"," 09/01/1995"," 07/26/1999"," Sisbacen PEFI450"
"11","358"," Financial investment fund - FIF 90 - Investments in warrants"," c.m.u. (thousand)"," W"," 09/01/1995"," 07/26/1999"," Sisbacen PEFI450"
"12","359"," Financial investment fund - FIF 90 - Investments in export notes"," c.m.u. (thousand)"," W"," 09/01/1995"," 07/26/1999"," Sisbacen PEFI450"
