"","Codes","Description","unit","Periodicity","start","last value","source"
"1","7412"," Cheques compensados"," Unidades (mil)"," M"," 31/01/1991"," mar/2016"," BCB-Deban"
"2","7413"," Cheques devolvidos por insufici?ncia de fundos"," Unidades (mil)"," M"," 31/01/1991"," mar/2016"," BCB-Deban"
"3","7542"," Recolhimentos obrigat?rios de institui??es financeiras - Saldo total (remunerado)"," u.m.c. (mil)"," M"," 31/07/1994"," mar/2010"," BCB-Deban"
"4","7543"," Recolhimentos obrigat?rios de institui??es financeiras - Saldo total (n?o-remunerado)"," u.m.c. (mil)"," M"," 31/07/1994"," mar/2010"," BCB-Deban"
"5","11"," Taxa de juros - Selic"," % a.d."," D"," 04/06/1986"," 20/05/2016"," BCB-Demab"
"6","1178"," Taxa de juros - Selic anualizada base 252"," % a.a."," D"," 04/06/1986"," 20/05/2016"," BCB-Demab"
"7","4189"," Taxa de juros - Selic acumulada no m?s anualizada base 252"," % a.a."," M"," 31/07/1986"," mai/2016"," BCB-Demab"
"8","4389"," Taxa de juros - CDI anualizada base 252"," % a.a."," D"," 06/03/1986"," 20/05/2016"," BCB-Demab"
"9","4390"," Taxa de juros - Selic acumulada no m?s"," % a.m."," M"," 31/07/1986"," mai/2016"," BCB-Demab"
"10","4391"," Taxa de juros - CDI acumulada no m?s"," % a.m."," M"," 31/07/1986"," mai/2016"," BCB-Demab"
"11","4392"," Taxa de juros - CDI acumulada no m?s anualizada base 252"," % a.a."," M"," 31/07/1986"," mai/2016"," BCB-Demab"
"12","7528"," Fatores condicionantes da base monet?ria - Opera??es com t?tulos p?blicos federais - Banco Central (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/01/1994"," mar/2016"," BCB-Demab"
"13","7529"," Fatores condicionantes da base monet?ria - Opera??es com t?tulos p?blicos federais - Tesouro Nacional (saldo em final de per?odo)"," u.m.c. (mil)"," M"," 31/01/1994"," mar/2016"," BCB-Demab"
"14","10601"," D?vida mobili?ria federal - T?tulos do Banco Central - Emitidos em oferta p?blica - Prazo e dura??o m?dios - BBC"," Meses"," M"," 31/07/1996"," mar/2016"," BCB-Demab"
"15","10602"," D?vida mobili?ria federal - T?tulos do Banco Central - Emitidos em oferta p?blica - Prazo e dura??o m?dios - BBC-A"," Meses"," M"," 31/10/1998"," mar/2016"," BCB-Demab"
"16","10603"," D?vida mobili?ria federal - T?tulos do Banco Central - Emitidos em oferta p?blica - Prazo e dura??o m?dios - NBC-A"," Meses"," M"," 31/12/1998"," mar/2016"," BCB-Demab"
"17","10604"," D?vida mobili?ria federal - T?tulos do Banco Central - Emitidos em oferta p?blica - Prazo e dura??o m?dios - NBC-E"," Meses"," M"," 31/03/1997"," mar/2016"," BCB-Demab"
"18","10605"," D?vida mobili?ria federal - T?tulos do Banco Central - Emitidos em oferta p?blica - Prazo e dura??o m?dios - NBC-F"," Meses"," M"," 30/09/1998"," mar/2016"," BCB-Demab"
"19","10606"," D?vida mobili?ria federal - T?tulos do Banco Central - Emitidos em oferta p?blica - Prazo e dura??o m?dios - LBC"," Meses"," M"," 31/01/1998"," mar/2016"," BCB-Demab"
"20","10607"," D?vida mobili?ria federal - T?tulos do Banco Central - Emitidos em oferta p?blica - Prazo e dura??o m?dios - Total"," Meses"," M"," 31/07/1996"," mar/2016"," BCB-Demab"
"21","10608"," D?vida mobili?ria federal - T?tulos do Tesouro Nacional - Emitidos em oferta p?blica - Prazo e dura??o m?dios - NTN-B"," Meses"," M"," 31/03/2002"," mar/2016"," BCB-Demab"
"22","10609"," D?vida mobili?ria federal - T?tulos do Tesouro Nacional - Emitidos em oferta p?blica - Prazo e dura??o m?dios - NTN-C"," Meses"," M"," 31/12/1999"," mar/2016"," BCB-Demab"
"23","10610"," D?vida mobili?ria federal - T?tulos do Tesouro Nacional - Emitidos em oferta p?blica - Prazo e dura??o m?dios - NTN-D"," Meses"," M"," 31/07/1996"," mar/2016"," BCB-Demab"
"24","10611"," D?vida mobili?ria federal - T?tulos do Tesouro Nacional - Emitidos em oferta p?blica - Prazo e dura??o m?dios - NTN-E e NTN-H"," Meses"," M"," 31/07/1996"," mar/2016"," BCB-Demab"
"25","10612"," D?vida mobili?ria federal - T?tulos do Tesouro Nacional - Emitidos em oferta p?blica - Prazo e dura??o m?dios - NTN-S"," Meses"," M"," 31/12/1998"," mar/2016"," BCB-Demab"
"26","10613"," D?vida mobili?ria federal - T?tulos do Tesouro Nacional - Emitidos em oferta p?blica - Prazo e dura??o m?dios - LTN"," Meses"," M"," 31/07/1996"," mar/2016"," BCB-Demab"
"27","10614"," D?vida mobili?ria federal - T?tulos do Tesouro Nacional - Emitidos em oferta p?blica - Prazo m?dio - LFT"," Meses"," M"," 30/06/1998"," mar/2016"," BCB-Demab"
"28","10615"," D?vida mobili?ria federal - T?tulos do Tesouro Nacional - Emitidos em oferta p?blica - Dura??o m?dia - LFT"," Meses"," M"," 30/06/1998"," mar/2016"," BCB-Demab"
"29","10616"," D?vida mobili?ria federal - T?tulos do Tesouro Nacional - Emitidos em oferta p?blica - Prazo m?dio - Total"," Meses"," M"," 31/07/1996"," mar/2016"," BCB-Demab"
"30","10617"," D?vida mobili?ria federal - T?tulos do Tesouro Nacional - Emitidos em oferta p?blica - Dura??o m?dia - Total"," Meses"," M"," 31/07/1996"," mar/2016"," BCB-Demab"
"31","10618"," D?vida mobili?ria federal - T?tulos do Tesouro Nacional - Emitidos - Prazo m?dio - Total"," Meses"," M"," 30/09/2000"," mar/2016"," BCB-Demab"
"32","10619"," D?vida mobili?ria federal - T?tulos consolidados do Tesouro Nacional e Banco Central - Emitidos em oferta p?blica - Prazo m?dio - Total"," Meses"," M"," 31/01/1997"," mar/2016"," BCB-Demab"
"33","10620"," D?vida mobili?ria federal - T?tulos consolidados do Tesouro Nacional e Banco Central - Emitidos em oferta p?blica - Dura??o m?dia - Total"," Meses"," M"," 31/01/1997"," mar/2016"," BCB-Demab"
"34","10621"," D?vida mobili?ria federal - T?tulos consolidados do Tesouro Nacional e Banco Central - Emitidos - Prazo m?dio - Total"," Meses"," M"," 30/09/2000"," mar/2016"," BCB-Demab"
"35","10633"," D?vida mobili?ria federal (saldos) - Posi??o em carteira - T?tulo indexado a Selic - LBC/LBCE"," u.m.c. (milh?es)"," M"," 31/01/2000"," mar/2016"," BCB-Demab"
"36","10634"," D?vida mobili?ria federal (saldos) - Posi??o em carteira - T?tulo indexado a Selic - LFT"," u.m.c. (milh?es)"," M"," 31/01/2000"," mar/2016"," BCB-Demab"
"37","10642"," D?vida mobili?ria federal (saldos) - Posi??o em carteira - T?tulo indexado ao IPC-A - NTN-B"," u.m.c. (milh?es)"," M"," 31/01/2000"," mar/2016"," BCB-Demab"
"38","10647"," D?vida mobili?ria federal (saldos) - Posi??o em carteira - T?tulo indexado ao IGP-M - NTN-C"," u.m.c. (milh?es)"," M"," 31/01/2000"," mar/2016"," BCB-Demab"
"39","10649"," D?vida mobili?ria federal (saldos) - Posi??o em carteira - T?tulo pr?-fixado - LTN"," u.m.c. (milh?es)"," M"," 31/01/2000"," mar/2016"," BCB-Demab"
"40","10652"," D?vida mobili?ria federal (saldos) - Posi??o em carteira - T?tulo indexado a TR - NTN-H"," u.m.c. (milh?es)"," M"," 31/01/2000"," mar/2016"," BCB-Demab"
"41","10658"," D?vida mobili?ria federal (saldos) - Posi??o em carteira - T?tulo indexado a TR - NTN-P"," u.m.c. (milh?es)"," M"," 31/01/2000"," mar/2016"," BCB-Demab"
"42","10661"," D?vida mobili?ria federal (saldos) - Posi??o em carteira - T?tulo indexado a TJLP - NTN-U"," u.m.c. (milh?es)"," M"," 31/01/2000"," mar/2016"," BCB-Demab"
"43","10663"," D?vida mobili?ria federal (saldos) - Posi??o em carteira - T?tulo indexado ao c?mbio - NBCE"," u.m.c. (milh?es)"," M"," 31/01/2000"," mar/2016"," BCB-Demab"
"44","10664"," D?vida mobili?ria federal (saldos) - Posi??o em carteira - T?tulo indexado ao c?mbio - NBCF"," u.m.c. (milh?es)"," M"," 31/01/2000"," mar/2016"," BCB-Demab"
"45","10665"," D?vida mobili?ria federal (saldos) - Posi??o em carteira - T?tulo indexado ao c?mbio - BTN-BIB"," u.m.c. (milh?es)"," M"," 31/01/2000"," mar/2016"," BCB-Demab"
"46","10667"," D?vida mobili?ria federal (saldos) - Posi??o em carteira - T?tulo indexado ao c?mbio - NTN-A"," u.m.c. (milh?es)"," M"," 31/01/2000"," mar/2016"," BCB-Demab"
"47","10668"," D?vida mobili?ria federal (saldos) - Posi??o em carteira - T?tulo indexado ao c?mbio - NTN-D"," u.m.c. (milh?es)"," M"," 31/01/2000"," mar/2016"," BCB-Demab"
"48","10669"," D?vida mobili?ria federal (saldos) - Posi??o em carteira - T?tulo indexado ao c?mbio - NTN-I"," u.m.c. (milh?es)"," M"," 31/01/2000"," mar/2016"," BCB-Demab"
"49","10670"," D?vida mobili?ria federal (saldos) - Posi??o em carteira - T?tulo indexado ao c?mbio - NTN-M"," u.m.c. (milh?es)"," M"," 31/01/2000"," mar/2016"," BCB-Demab"
"50","10672"," D?vida mobili?ria federal (saldos) - Posi??o em carteira - T?tulo indexado ao c?mbio - NTN-R"," u.m.c. (milh?es)"," M"," 31/01/2000"," mar/2016"," BCB-Demab"
"51","10675"," D?vida mobili?ria federal (saldos) - Posi??o de cust?dia - T?tulo indexado a Selic - LBC/LBCE"," u.m.c. (milh?es)"," M"," 31/01/1991"," mar/2016"," BCB-Demab"
"52","10676"," D?vida mobili?ria federal (saldos) - Posi??o de cust?dia - T?tulo indexado a Selic - LFT"," u.m.c. (milh?es)"," M"," 31/01/1991"," mar/2016"," BCB-Demab"
"53","10677"," D?vida mobili?ria federal (saldos) - Posi??o de cust?dia - T?tulo indexado a Selic - BBCA"," u.m.c. (milh?es)"," M"," 31/10/1998"," mar/2016"," BCB-Demab"
"54","10678"," D?vida mobili?ria federal (saldos) - Posi??o de cust?dia - T?tulo indexado a Selic - NBCA"," u.m.c. (milh?es)"," M"," 31/12/1998"," mar/2016"," BCB-Demab"
"55","10681"," D?vida mobili?ria federal (saldos) - Posi??o de cust?dia - T?tulo indexado a Selic - NTN-S"," u.m.c. (milh?es)"," M"," 31/12/1998"," mar/2016"," BCB-Demab"
"56","10687"," D?vida mobili?ria federal (saldos) - Posi??o de cust?dia - T?tulo indexado ao IPC-A - NTN-B"," u.m.c. (milh?es)"," M"," 31/01/2002"," mar/2016"," BCB-Demab"
"57","10689"," D?vida mobili?ria federal (saldos) - Posi??o de cust?dia - T?tulo indexado ao IGP-M - NTN-B"," u.m.c. (milh?es)"," M"," 31/05/1992"," mar/2016"," BCB-Demab"
"58","10693"," D?vida mobili?ria federal (saldos) - Posi??o de cust?dia - T?tulo indexado ao IGP-M - NTN-C"," u.m.c. (milh?es)"," M"," 30/11/1991"," mar/2016"," BCB-Demab"
"59","10695"," D?vida mobili?ria federal (saldos) - Posi??o de cust?dia - T?tulo pr?-fixado - BBC e BBCA"," u.m.c. (milh?es)"," M"," 31/01/1991"," mar/2016"," BCB-Demab"
"60","10696"," D?vida mobili?ria federal (saldos) - Posi??o de cust?dia - T?tulo pr?-fixado - LTN"," u.m.c. (milh?es)"," M"," 31/01/1991"," mar/2016"," BCB-Demab"
"61","10697"," D?vida mobili?ria federal (saldos) - Posi??o de cust?dia - T?tulo pr?-fixado - NTN-J"," u.m.c. (milh?es)"," M"," 31/01/1994"," mar/2016"," BCB-Demab"
"62","10698"," D?vida mobili?ria federal (saldos) - Posi??o de cust?dia - T?tulo pr?-fixado - NTN-S"," u.m.c. (milh?es)"," M"," 31/12/1998"," mar/2016"," BCB-Demab"
"63","10701"," D?vida mobili?ria federal (saldos) - Posi??o de cust?dia - T?tulo Prefixado - NTN-F"," u.m.c. (milh?es)"," M"," 01/12/2003"," mar/2016"," BCB-Demab"
"64","10702"," D?vida mobili?ria federal (saldos) - Posi??o de cust?dia - T?tulo indexado a TR - NTN-H"," u.m.c. (milh?es)"," M"," 31/03/1992"," mar/2016"," BCB-Demab"
"65","10708"," D?vida mobili?ria federal (saldos) - Posi??o de cust?dia - T?tulo indexado a TR - NTN-P"," u.m.c. (milh?es)"," M"," 31/07/1993"," mar/2016"," BCB-Demab"
"66","10710"," D?vida mobili?ria federal (saldos) - Posi??o de cust?dia - T?tulo indexado a TJLP - NTN-T"," u.m.c. (milh?es)"," M"," 31/07/1994"," mar/2016"," BCB-Demab"
"67","10712"," D?vida mobili?ria federal (saldos) - Posi??o de cust?dia - T?tulo indexado a TJLP - NTN-U"," u.m.c. (milh?es)"," M"," 31/08/1998"," mar/2016"," BCB-Demab"
"68","10714"," D?vida mobili?ria federal (saldos) - Posi??o de cust?dia - T?tulo indexado ao c?mbio - NBCE"," u.m.c. (milh?es)"," M"," 31/08/1991"," mar/2016"," BCB-Demab"
"69","10715"," D?vida mobili?ria federal (saldos) - Posi??o de cust?dia - T?tulo indexado ao c?mbio - NBCF"," u.m.c. (milh?es)"," M"," 30/09/1998"," mar/2016"," BCB-Demab"
