"","Codes","Description","unit","Periodicity","start","last.value","source"
"1","ST_25634","Algod?o em Caro?o, Pre?os Recebidos - Piau?(*)","indice","M","Inicio","04/01/2016","FGV|IBRE"
"2","ST_159363","1 - INCC - TODOS OS ITENS","indice","M","01/01/1944","04/01/2016","FGV|IBRE"
"3","ST_159401","200 - M?O-DE-OBRA","indice","M","01/12/1971","04/01/2016","FGV|IBRE"
"4","ST_159411","100 - MATERIAIS, EQUIPAMENTOS E SERVI?OS","indice","M","01/12/1971","04/01/2016","FGV|IBRE"
"5","ST_160868","1 - INCC - TODOS OS ITENS","indice","M","01/01/1944","04/01/2016","FGV|IBRE"
"6","ST_160906","200 - M?O-DE-OBRA","indice","M","01/12/1971","04/01/2016","FGV|IBRE"
"7","ST_160914","100 - MATERIAIS, EQUIPAMENTOS E SERVI?OS","indice","M","01/12/1971","04/01/2016","FGV|IBRE"
"8","ST_161341","1 - INCC - TODOS OS ITENS","indice","M","01/12/1985","04/01/2016","FGV|IBRE"
"9","ST_161351","100 - MATERIAIS, EQUIPAMENTOS E SERVI?OS","indice","M","01/12/1985","04/01/2016","FGV|IBRE"
"10","ST_161368","200 - M?O-DE-OBRA","indice","M","01/12/1985","04/01/2016","FGV|IBRE"
"11","ST_161384","?ndice Geral de Pre?os - Disponibilidade Interna - IGP-DI  ","indice","M","01/01/1944","04/01/2016","FGV|IBRE"
"12","ST_161392","?ndice Geral de Pre?os - Oferta Global - IGP-OG","indice","M","#N/D","04/01/2016","FGV|IBRE"
"13","ST_161831","205 - CARPINTEIRO (F?RMA, ESQUADRIA E TELHADO)","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"14","ST_161848","215 - SERVENTE","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"15","ST_161856","213 - PEDREIRO","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"16","ST_161864","111 - CIMENTO PORTLAND COMUM","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"17","ST_161872","101 - VERGALH?ES E ARAMES DE A?O AO CARBONO","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"18","ST_161880","146 - T?BUA DE 3?","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"19","ST_161899","136 - PORTAS E JANELAS DE MADEIRA","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"20","ST_161902","106 - PLACAS CER?MICAS PARA REVESTIMENTO","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"21","ST_161910","147 - TACO/T?BUA CORRIDA PARA ASSOALHO","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"22","ST_161929","140 - PRODUTOS DE FIBROCIMENTO","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"23","ST_161937","153 - TUBOS E CONEX?ES DE FERRO E A?O","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"24","ST_161945","149 - TIJOLO/TELHA CER?MICA","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"25","ST_161953","104 - AREIA LAVADA","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"26","ST_161961","152 - TINTA A BASE DE PVA","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"27","ST_161971","114 - PIAS, CUBAS E LOU?AS  SANIT?RIAS","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"28","ST_161988","133 - PEDRA BRITADA","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
"29","ST_161996","128 - MADEIRA  PARA TELHADOS","indice","M","01/04/1986","12/01/2015","FGV|IBRE"
