"","data","valor","serie"
"1",1990-04-07,"8751","3543"
"2",1991-04-07,"8552","3543"
"3",1992-04-07,"19008","3543"
"4",1993-04-07,"25878","3543"
"5",1994-04-07,"36471","3543"
"6",1995-04-07,"50449","3543"
"7",1996-04-07,"59039","3543"
"8",1997-04-07,"51359","3543"
"9",1998-04-07,"43617","3543"
"10",1999-04-07,"35554","3543"
"11",2000-04-07,"32949","3543"
"12",2001-04-07,"35844","3543"
"21111",1990-04-07," 1.154879e+07","1207"
"31000",1991-04-07," 6.028600e+07","1207"
"41000",1992-04-07," 6.409588e+08","1207"
"5173",1993-04-07," 1.409711e+10","1207"
"6187",1994-04-07," 3.492047e+11","1207"
"7208",1995-04-07," 7.059916e+11","1207"
"8259",1996-04-07," 8.547636e+11","1207"
"9310",1997-04-07," 9.520892e+11","1207"
"10247",1998-04-07," 1.002351e+12","1207"
"11298",1999-04-07," 1.087710e+12","1207"
"12474",2000-04-07," 1.199092e+12","1207"
"13",2001-04-07," 1.315755e+12","1207"
"14",2002-04-07," 1.488787e+12","1207"
"15",2003-04-07," 1.717950e+12","1207"
"16",2004-04-07," 1.957751e+12","1207"
"17",2005-04-07," 2.170585e+12","1207"
"18",2006-04-07," 2.409450e+12","1207"
"19",2007-04-07," 2.720263e+12","1207"
"20",2008-04-07," 3.109803e+12","1207"
"21",2009-04-07," 3.333039e+12","1207"
"22",2010-04-07," 3.885847e+12","1207"
"23",2011-04-07," 4.373658e+12","1207"
"24",2012-04-07," 4.805913e+12","1207"
"25",2013-04-07," 5.316455e+12","1207"
"26",2014-04-07," 5.687309e+12","1207"
"27",2015-04-07," 5.904331e+12","1207"
"28",1991-04-07," 4.166800e+02","1211"
"29",1992-04-07," 9.690100e+02","1211"
"30",1993-04-07," 1.996150e+03","1211"
"31",1994-04-07," 2.240170e+03","1211"
"32",1996-04-07," 1.632000e+01","1211"
"33",1997-04-07," 7.730000e+00","1211"
"34",1998-04-07," 4.920000e+00","1211"
"35",1999-04-07," 8.010000e+00","1211"
"36",2000-04-07," 5.610000e+00","1211"
"37",2001-04-07," 8.230000e+00","1211"
"38",2002-04-07," 9.800000e+00","1211"
"39",2003-04-07," 1.409000e+01","1211"
"40",2004-04-07," 7.750000e+00","1211"
"41",2005-04-07," 7.430000e+00","1211"
"42",2006-04-07," 6.770000e+00","1211"
"43",2007-04-07," 6.440000e+00","1211"
"44",2008-04-07," 8.780000e+00","1211"
"45",2009-04-07," 7.310000e+00","1211"
"46",2010-04-07," 8.420000e+00","1211"
"47",2011-04-07," 8.320000e+00","1211"
"48",2012-04-07," 7.820000e+00","1211"
"49",2013-04-07," 7.390000e+00","1211"
"50",2014-04-07," 6.860000e+00","1211"
"51",2015-04-07," 7.970000e+00","1211"
"52",1990-04-07," 1.821409e+06","1254"
"53",1991-04-07," 2.079751e+06","1254"
"54",1992-04-07," 1.885427e+06","1254"
"55",1993-04-07," 1.135305e+06","1254"
"56",1994-04-07," 1.367514e+06","1254"
"57",1995-04-07," 1.451160e+06","1254"
"58",1996-04-07," 9.543820e+05","1254"
"59",1997-04-07," 8.229320e+05","1254"
"60",1998-04-07," 1.172992e+06","1254"
"61",1999-04-07," 1.478366e+06","1254"
"62",2000-04-07," 2.014987e+06","1254"
"63",2001-04-07," 2.646286e+06","1254"
"64",2002-04-07," 2.170119e+06","1254"
"65",2003-04-07," 2.201692e+06","1254"
"66",2004-04-07," 3.801382e+06","1254"
"67",2005-04-07," 3.668283e+06","1254"
"68",2006-04-07," 2.899396e+06","1254"
"69",2007-04-07," 4.111065e+06","1254"
"70",2008-04-07," 3.983361e+06","1254"
"71",2009-04-07," 2.897851e+06","1254"
"72",2010-04-07," 2.950013e+06","1254"
"73",2011-04-07," 5.070967e+06","1254"
"74",2012-04-07," 4.969106e+06","1254"
"75",1990-04-07," 3.823400e+04","1255"
"76",1991-04-07," 3.862800e+04","1255"
"77",1992-04-07," 2.235000e+04","1255"
"78",1993-04-07," 7.941000e+03","1255"
"79",1994-04-07," 1.670000e+04","1255"
"80",1995-04-07," 9.634000e+03","1255"
"81",1996-04-07," 2.369000e+03","1255"
"82",1997-04-07," 1.661000e+03","1255"
"83",1998-04-07," 9.750000e+02","1255"
"84",1999-04-07," 1.336000e+03","1255"
"85",2000-04-07," 7.885000e+03","1255"
"86",2001-04-07," 2.762000e+03","1255"
"87",2002-04-07," 4.105000e+03","1255"
"88",2003-04-07," 2.424000e+03","1255"
"89",2004-04-07," 2.902000e+03","1255"
"90",2005-04-07," 2.123000e+03","1255"
"91",2006-04-07," 6.750000e+02","1255"
"92",2007-04-07," 2.430000e+02","1255"
"93",2008-04-07," 1.800000e+02","1255"
"94",2009-04-07," 3.090000e+02","1255"
"95",2010-04-07," 1.680000e+02","1255"
"96",2011-04-07," 2.500000e+02","1255"
"97",2012-04-07," 4.200000e+01","1255"
"98",1990-04-07," 1.783175e+06","1256"
"99",1991-04-07," 2.041123e+06","1256"
"100",1992-04-07," 1.863077e+06","1256"
"101",1993-04-07," 1.127364e+06","1256"
"102",1994-04-07," 1.350814e+06","1256"
"103",1995-04-07," 1.441526e+06","1256"
"104",1996-04-07," 9.520130e+05","1256"
"105",1997-04-07," 8.212710e+05","1256"
"106",1998-04-07," 1.172017e+06","1256"
"107",1999-04-07," 1.477030e+06","1256"
"108",2000-04-07," 2.007102e+06","1256"
"109",2001-04-07," 2.643524e+06","1256"
"110",2002-04-07," 2.166014e+06","1256"
"111",2003-04-07," 2.199268e+06","1256"
"112",2004-04-07," 3.798480e+06","1256"
"113",2005-04-07," 3.666160e+06","1256"
"114",2006-04-07," 2.898721e+06","1256"
"115",2007-04-07," 4.110822e+06","1256"
"116",2008-04-07," 3.983181e+06","1256"
"117",2009-04-07," 2.897542e+06","1256"
"118",2010-04-07," 2.949845e+06","1256"
"119",2011-04-07," 5.070717e+06","1256"
"120",2012-04-07," 4.969064e+06","1256"
"121",1990-04-07," 1.383250e+05","1257"
"122",1991-04-07," 1.405480e+05","1257"
"123",1992-04-07," 1.721720e+05","1257"
"124",1993-04-07," 1.515440e+05","1257"
"125",1994-04-07," 1.602300e+05","1257"
"126",1995-04-07," 1.701290e+05","1257"
"127",1996-04-07," 1.542780e+05","1257"
"128",1997-04-07," 1.412550e+05","1257"
"129",1998-04-07," 1.931540e+05","1257"
"130",1999-04-07," 1.794210e+05","1257"
"131",2000-04-07," 1.878900e+05","1257"
"132",2001-04-07," 2.017630e+05","1257"
"133",2002-04-07," 1.952840e+05","1257"
"134",2003-04-07," 1.877190e+05","1257"
"135",2004-04-07," 2.364880e+05","1257"
"136",2005-04-07," 3.152390e+05","1257"
