"","data","valor","serie"
"2","28/8/1995","0.00","324"
"3","4/9/1995","0.00","324"
"4","11/9/1995","0.00","324"
"5","18/9/1995","0.00","324"
"6","25/9/1995","0.00","324"
"7","2/10/1995","625.00","324"
"8","9/10/1995","1601.00","324"
"9","16/10/1995","2491.00","324"
"10","23/10/1995","2950.00","324"
"11","30/10/1995","4276.00","324"
"12","6/11/1995","13195.00","324"
"13","13/11/1995","15677.00","324"
"14","20/11/1995","17633.00","324"
"15","27/11/1995","17740.00","324"
"16","4/12/1995","23437.00","324"
"17","11/12/1995","23776.00","324"
"18","18/12/1995","29558.00","324"
"19","25/12/1995","31290.00","324"
"20","1/1/1996","38432.00","324"
"21","8/1/1996","40624.00","324"
"22","15/1/1996","43489.00","324"
"23","22/1/1996","44554.51","324"
"24","29/1/1996","48061.71","324"
"25","5/2/1996","50030.38","324"
"26","12/2/1996","51927.42","324"
"27","19/2/1996","55498.85","324"
"28","26/2/1996","49658.25","324"
"29","4/3/1996","44993.59","324"
"30","11/3/1996","47097.16","324"
"31","18/3/1996","51268.16","324"
"32","25/3/1996","51276.59","324"
"33","1/4/1996","52441.95","324"
"34","8/4/1996","58674.32","324"
"35","15/4/1996","61063.15","324"
"36","22/4/1996","59812.51","324"
"37","29/4/1996","58777.24","324"
"38","6/5/1996","63462.10","324"
"39","13/5/1996","63773.77","324"
"40","20/5/1996","65798.65","324"
"41","27/5/1996","63345.09","324"
"42","3/6/1996","59134.08","324"
"43","10/6/1996","51510.81","324"
"44","17/6/1996","53007.53","324"
"45","24/6/1996","58868.56","324"
"46","1/7/1996","59536.95","324"
"47","8/7/1996","49960.72","324"
"48","15/7/1996","60343.12","324"
"49","22/7/1996","51889.29","324"
"50","29/7/1996","45313.98","324"
"51","5/8/1996","48294.14","324"
"52","12/8/1996","49481.79","324"
"53","19/8/1996","48804.85","324"
"54","26/8/1996","51515.87","324"
"55","2/9/1996","48924.75","324"
"56","9/9/1996","52524.56","324"
"57","16/9/1996","53092.34","324"
"58","23/9/1996","53181.73","324"
"59","30/9/1996","51845.69","324"
"60","7/10/1996","52975.08","324"
"61","14/10/1996","53126.56","324"
"62","21/10/1996","53499.50","324"
"63","28/10/1996","50945.46","324"
